bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
33198,Romeo and Juliet,William Shakespeare/René Weis,3.74,9781903436912,eng,350,2012,Bloomsbury Arden Shakespeare
34154,What a Scare  Jesse Bear,Nancy White Carlstrom/Bruce Degen,3.47,9780689851902,en-US,32,2012,Aladdin
26053,Public Secrets,Nora Roberts,4.03,9780553589474,eng,481,2012,Bantam Books
14179,The Complete Dick Tracy Volume 1: 1931-1933,Chester Gould/Ashley Wood/Max Allan Collins,4.02,9781600100369,eng,352,2012,Library of American Comics
27189,Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,2.83,9781892062437,eng,139,2012,Inner Light - Global Communications
14472,Amelia Bedelia 50th Anniversary Library: Amelia Bedelia  Amelia Bedelia and the Surprise Shower  and Play Ball  Amelia Bedelia,Peggy Parish/Various,4.43,9780060542382,eng,96,2012,Greenwillow Books
24634,Rob Roy MacGregor,Nigel Tranter,3.93,9781897784310,eng,192,2012,Neil Wilson Publishing
5328,A Christmas Carol,Charles Dickens,4.05,9781580495790,eng,112,2012,Penguin Books
38030,Savannah Blues (Weezie and Bebe Mysteries  #1),Mary Kay Andrews,3.99,9780060519131,en-US,404,2012,Harper Paperbacks
1274,Men Are from Mars  Women Are from Venus,John Gray,3.55,9780060574215,eng,368,2012,Harper Paperbacks
19858,Thornhold (The Harpers  #16; Songs & Swords  #4),Elaine Cunningham,3.67,9780786918089,eng,384,2011,Wizards of the Coast
41335,Magnificat (Galactic Milieu Trilogy  #3),Julian May,4.21,9780345362490,en-US,432,2011,Del Rey
32213,Expectant Father,Melinda Curtis,3.6,9780373713011,eng,304,2011,Harlequin Special Releases
32780,The Iliad,Homer/Andrew Lang,3.86,9781904633389,eng,542,2011,Collector's Library
8917,Best Science Fiction Stories of H. G. Wells,H.G. Wells,3.84,9780486215310,eng,320,2011,Dover Publications
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,9780679439202,eng,100,2011,Knopf
42607,As You Like It,William Shakespeare,3.83,9780743484862,eng,263,2011,Simon Schuster
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,9780573650963,eng,72,2011,Samuel French  Inc.
